node_id,lat,lon,category
node/298543759,43.7178587,-79.6181982,highway
node/298543813,43.7229742,-79.622942,highway
node/298553218,43.7391976,-79.6285591,highway
node/298553350,43.7296963,-79.6260474,highway
node/301331368,43.640523,-79.5616419,highway
node/301331557,43.6399644,-79.5605353,highway
node/310322630,43.6575981,-79.6847567,highway
node/310322757,43.6676388,-79.6988598,highway
node/310322784,43.6627319,-79.6939153,highway
node/313081854,43.5287654,-79.643115,highway
node/313082415,43.5207245,-79.6515533,highway
node/315023679,43.8436291,-79.3373563,highway
node/315023792,43.8468876,-79.3230009,highway
node/317606110,43.5151617,-79.6993147,highway
node/318268330,43.6557228,-79.6196056,highway
node/318268599,43.662506,-79.6081362,highway
node/319036030,43.8653197,-79.2527758,highway
node/319111582,43.8687723,-79.2400129,highway
node/319111720,43.872086,-79.2266167,highway
node/319112962,43.8576265,-79.2751607,highway
node/319113003,43.8547787,-79.2874313,highway
node/319324472,43.8945398,-79.1826807,highway
node/319968069,43.5060912,-79.6675189,highway
node/319968521,43.5133783,-79.6600149,highway
node/320103688,43.5811072,-79.5856401,highway
node/320103709,43.586011,-79.5805825,highway
node/320104051,43.5649251,-79.6032352,highway
node/343008384,43.7151205,-79.5278601,highway
node/345861611,43.6931015,-79.6106263,highway
node/345944844,43.6854069,-79.6074381,highway
node/345949247,43.6858272,-79.6039134,highway
node/375313672,43.5715152,-79.5965313,highway
node/379765447,43.8331793,-79.0836211,highway
node/380612644,43.6426375,-79.5616508,highway
node/383283020,43.8376173,-79.4208171,highway
node/386132318,43.6507641,-79.5662283,highway
node/391883180,43.7716325,-79.5758099,highway
node/391895371,43.7769469,-79.5636375,highway
node/392151573,43.833177,-79.546932,highway
node/411401042,43.6972221,-79.6076898,highway
node/420888042,43.6303493,-79.647215,highway
node/430845147,43.7594594,-79.53204,highway
node/492013361,43.6825561,-79.6925985,highway
node/492013393,43.6925547,-79.6885052,highway
node/520873732,43.6008506,-79.5644642,highway
node/529353976,43.7061881,-79.5560452,highway
node/583411836,43.853129,-79.0216345,highway
node/696644460,43.6170351,-79.529863,highway
node/934209528,43.8761158,-79.2076018,highway
node/934209546,43.8733044,-79.2191661,highway
node/1339099026,43.7232764,-79.3321453,highway
node/1368520331,43.7735156,-79.3395646,highway
node/1381245510,43.7230565,-79.3283633,highway
node/1381298321,43.7288147,-79.4490998,highway
node/1381299231,43.7359125,-79.4345649,highway
node/1381324287,43.714794,-79.5283086,highway
node/1385397925,43.6224869,-79.6341663,highway
node/1385397985,43.6341979,-79.6513871,highway
node/1433175168,43.5504698,-79.6164916,highway
node/1463159828,43.6333134,-79.6769502,highway
node/1463159831,43.6349419,-79.6729306,highway
node/1541575300,43.6673261,-79.5937519,highway
node/1546658908,43.6279923,-79.5548059,highway
node/1553144380,43.6421672,-79.3797671,highway
node/1564504387,43.7367686,-79.3319634,highway
node/1566762724,43.8293668,-79.3642642,highway
node/1576439742,43.6358414,-79.669415,highway
node/1590264535,43.7584741,-79.3338138,highway
node/1590264561,43.7643346,-79.3367429,highway
node/1590280324,43.7626328,-79.3366445,highway
node/1590306772,43.8482159,-79.3714357,highway
node/1590306846,43.8402703,-79.3684616,highway
node/1591980078,43.7813256,-79.3407965,highway
node/1591980139,43.8158958,-79.358077,highway
node/1592086855,43.7757536,-79.3394044,highway
node/1595684837,43.7372537,-79.3322348,highway
node/1615037687,43.7082113,-79.614465,highway
node/1630272797,43.7198403,-79.5214875,highway
node/1640077452,43.8797048,-79.5564823,highway
node/1754065107,43.7656858,-79.3704472,highway
node/1754184665,43.8865857,-79.1892682,highway
node/1889323368,43.6865215,-79.6121741,highway
node/1945506328,43.7951283,-79.4902572,highway
node/1975505551,43.8107802,-79.4796711,highway
node/1975505622,43.8223526,-79.4712146,highway
node/2025468656,43.7579808,-79.3357683,highway
node/2026568138,43.7413302,-79.3322728,highway
node/2034931953,43.7406403,-79.3320843,highway
node/2038506816,43.7206179,-79.3291998,highway
node/2038506920,43.7292606,-79.3307278,highway
node/2043419022,43.7006454,-79.3366031,highway
