node_id,lat,lon
node/21490047,43.7013406,-79.5608199
node/21490052,43.6948277,-79.5670057
node/21490063,43.6759858,-79.5783876
node/21490098,43.6563975,-79.6196209
node/21490120,43.6450148,-79.6459689
node/21542878,43.7065395,-79.5554067
node/21542897,43.7211061,-79.4862475
node/21542900,43.7200825,-79.4940963
node/21542912,43.7174857,-79.5055603
node/21542916,43.7174696,-79.5121465
node/21542925,43.7120363,-79.5439775
node/21542928,43.7108465,-79.5480732
node/21542939,43.7241844,-79.4760296
node/21542942,43.7265391,-79.4632492
node/21542963,43.7329342,-79.4406579
node/21542970,43.740339,-79.4258893
node/21543005,43.7657825,-79.3756139
node/21543012,43.7668744,-79.3551817
node/21543026,43.7771616,-79.2735374
node/21543044,43.7712081,-79.3019713
node/21543046,43.769665,-79.305947
node/21543052,43.7954939,-79.201298
node/21543058,43.7941702,-79.21444
node/21543088,43.800338,-79.1693876
node/21554686,43.8415449,-79.5474463
node/21554695,43.8533639,-79.5502524
node/21554698,43.8597609,-79.551533
node/23940543,43.6339546,-79.4712854
node/25644773,43.8128671,-79.5447068
node/25644794,43.7253393,-79.5239512
node/25644819,43.8163494,-79.5449515
node/25777951,43.7908796,-79.3424643
node/25777955,43.8076942,-79.3461593
node/26240111,43.6850641,-79.5988763
node/26658849,43.609832,-79.554197
node/26658858,43.6039485,-79.5606492
node/29657482,43.7127664,-79.4427137
node/29657517,43.7188825,-79.4455067
node/29657588,43.7248629,-79.4473829
node/29657608,43.7309661,-79.4510393
node/29657615,43.7349535,-79.4504897
node/29657618,43.7326571,-79.450375
node/29657644,43.7269837,-79.4478123
node/29657664,43.7270327,-79.4472158
node/29657678,43.7291009,-79.44635
node/29657681,43.7283072,-79.4550219
node/29657684,43.7289298,-79.4515714
node/29657698,43.7334255,-79.4499304
node/29657706,43.7276653,-79.4490768
node/29657709,43.7344056,-79.4371614
node/29657719,43.7309426,-79.4462699
node/29657776,43.7310281,-79.4467821
node/29657782,43.7316452,-79.4443061
node/29658136,43.7300347,-79.4479165
node/29658193,43.737056,-79.450782
node/29658197,43.7411924,-79.4528589
node/29658671,43.7175743,-79.5162277
node/29658784,43.7121733,-79.5106287
node/29658862,43.7157058,-79.5176013
node/29658877,43.7126232,-79.5117974
node/29659096,43.7101173,-79.5014991
node/29659138,43.7690877,-79.5339032
node/29659171,43.7810118,-79.5440639
node/29659182,43.779968,-79.5516375
node/29659214,43.7871252,-79.5195486
node/29659217,43.7856945,-79.5300743
node/29659230,43.7945475,-79.5403192
node/29659256,43.7834501,-79.5350627
node/29659299,43.7885009,-79.5139639
node/29659337,43.8012927,-79.5412672
node/29659361,43.7961799,-79.5410591
node/29659389,43.7841319,-79.5374016
node/29659391,43.7879148,-79.5375062
node/29659450,43.7784751,-79.5578893
node/29659492,43.8258674,-79.4609151
node/29659503,43.8385532,-79.4128807
node/29659509,43.8365205,-79.3897679
node/29659511,43.8366264,-79.3849533
node/29659528,43.8606645,-79.2635361
node/29659601,43.8520767,-79.3004933
node/29659606,43.842425,-79.3473301
node/29659614,43.8375521,-79.3998122
node/29659627,43.8293914,-79.4463894
node/29659711,43.8440108,-79.3711011
node/29659736,43.83963,-79.3634082
node/29659801,43.8412344,-79.355482
node/29659889,43.8411836,-79.3619041
node/29659949,43.837553,-79.3745063
node/29660012,43.8529177,-79.3726355
node/29660093,43.8337267,-79.3651485
node/29660391,43.8697191,-79.3767543
node/32348038,43.7946932,-79.2109585
node/32353778,43.8028599,-79.1377908
node/32355221,43.8010218,-79.1407793
node/32370814,43.7848091,-79.1651081
node/32378001,43.7926644,-79.1522806
node/32409985,43.8225561,-79.1067805
node/32409991,43.8111542,-79.1237452
node/32410781,43.8342914,-79.079865
node/32411523,43.7968401,-79.1592394
node/32422360,43.7914589,-79.2204147
node/32422661,43.7952502,-79.2030957
node/32423231,43.797604,-79.1915654
node/32424693,43.7995811,-79.1722736
node/32424747,43.7980034,-79.1607794
node/32474271,43.7782673,-79.2669907
node/32474298,43.7778358,-79.2698028
node/32474339,43.7797097,-79.2607517
node/32474480,43.7825318,-79.2495458
node/32475202,43.7766989,-79.2789175
node/32475485,43.7729774,-79.2918
node/32567390,43.7004095,-79.5700068
node/32974814,43.7306823,-79.6701964
node/32974827,43.7040116,-79.6810753
node/33540581,43.8034093,-79.136293
node/33540609,43.7999894,-79.1404481
node/36170159,43.7056854,-79.5582636
node/36170540,43.6983226,-79.5793446
node/36171892,43.6973891,-79.6035518
node/36171979,43.69678,-79.5981937
node/36191285,43.6945783,-79.6109244
node/36191301,43.6932225,-79.6108118
node/36191322,43.6899356,-79.6123458
node/36191332,43.6861135,-79.6138268
node/36191337,43.7029724,-79.6115969
node/36191389,43.6918253,-79.6123606
node/36191398,43.700519,-79.6106346
node/36191400,43.6990766,-79.6099298
node/36191487,43.6930453,-79.6117083
node/36191543,43.6836338,-79.6149074
node/36191950,43.6856059,-79.6099174
